,Name,Year,Tv Certificate,Duration per episode,Genre,Ratings,Actor/Actress,Votes
16,Law & Order: Special Victims Unit,1999– ,TV-14 , 60 min ," Crime, Drama, Mystery",8.1," Mariska Hargitay, Christopher Meloni, Ice-T, Dann Florek"," 107,463"
17,NCIS,2003– ,TV-14 , 60 min ," Action, Crime, Drama",7.8," David McCallum, Mark Harmon, Sean Murray, Pauley Perrette"," 148,157"
18,Severance,2022– ,TV-MA , 55 min ," Drama, Mystery, Sci-Fi",8.7," Adam Scott, Zach Cherry, Britt Lower, Tramell Tillman"," 115,705"
19,The Watcher,2022– ,TV-MA , 332 min ," Drama, Horror, Mystery",6.5," Naomi Watts, Bobby Cannavale, Mia Farrow, Terry Kinney"," 53,520"
20,The Devil's Hour,2022– ,TV-MA , 60 min ," Drama, Thriller",7.7," Jessica Raine, Peter Capaldi, Nikesh Patel, Benjamin Chivers"," 11,697"
21,Elite,2018– ,TV-MA , 60 min ," Crime, Drama, Thriller",7.3," Omar Ayuso, Itzan Escamilla, Miguel Bernardeau, Arón Piper"," 79,570"
22,The Blacklist,2013– ,TV-14 , 43 min ," Crime, Drama, Mystery",8.0," James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold"," 249,708"
23,Tom Clancy's Jack Ryan,2018– ,TV-MA , 60 min ," Action, Drama, Thriller",8.0," John Krasinski, Wendell Pierce, Michael Kelly, John Hoogenakker"," 121,590"
24,Shantaram,2022– ,TV-MA , 52 min ," Action, Adventure, Crime",7.6," Charlie Hunnam, Fayssal Bazzi, Sujaya Dasgupta, Antonia Desplat"," 6,051"
25,Big Sky,2020– ,TV-14 , 60 min ," Crime, Drama, Mystery",6.8," Katheryn Winnick, Kylie Bunbury, Dedee Pfeiffer, Brian Geraghty"," 20,905"
26,Black Mirror,2011–2019,TV-MA , 60 min ," Drama, Mystery, Sci-Fi",8.8," Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones"," 545,497"
27,9-1-1,2018– ,TV-14 , 43 min ," Action, Drama, Thriller",7.8," Angela Bassett, Peter Krause, Oliver Stark, Aisha Hinds"," 34,716"
28,True Detective,2014–2019,TV-MA , 55 min ," Crime, Drama, Mystery",8.9," Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch"," 570,238"
29,Fear the Walking Dead,2015– ,TV-MA , 44 min ," Drama, Horror, Sci-Fi",6.8," Kim Dickens, Frank Dillane, Cliff Curtis, Rubén Blades"," 130,388"
30,Ozark,2017–2022,TV-MA , 60 min ," Crime, Drama, Thriller",8.5," Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner"," 315,123"
31,The Wire,2002–2008,TV-MA , 59 min ," Crime, Drama, Thriller",9.3," Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce"," 339,583"
32,Lost,2004–2010,TV-14 , 44 min ," Adventure, Drama, Fantasy",8.3," Jorge Garcia, Josh Holloway, Yunjin Kim, Evangeline Lilly"," 553,399"
33,Chucky,2021– ,TV-MA , 42 min ," Horror, Thriller",7.3," Zackary Arthur, Bjorgvin Arnarson, Alyvia Alyn Lind, Brad Dourif"," 20,936"
34,Law & Order,1990– ,TV-14 , 45 min ," Crime, Drama, Mystery",7.8," Jerry Orbach, Jesse L. Martin, Dennis Farina, S. Epatha Merkerson"," 39,331"
35,The Vampire Diaries,2009–2017,TV-14 , 43 min ," Drama, Fantasy, Horror",7.7," Nina Dobrev, Paul Wesley, Ian Somerhalder, Kat Graham"," 322,211"
36,The X-Files,1993–2018,TV-14 , 45 min ," Crime, Drama, Mystery",8.6," David Duchovny, Gillian Anderson, Mitch Pileggi, William B. Davis"," 226,469"
37,Reacher,2022– ,TV-MA , 49 min ," Action, Crime, Drama",8.1," Alan Ritchson, Malcolm Goodwin, Willa Fitzgerald, Hugh Thompson"," 121,932"
38,Tokyo Vice,2022– ,TV-MA , 60 min ," Crime, Drama, Thriller",8.0," Ansel Elgort, Ken Watanabe, Rachel Keller, Shô Kasamatsu"," 27,057"
39,The Old Man,2022– ,TV-MA , 61 min ," Action, Drama, Thriller",7.7," Jeff Bridges, John Lithgow, E.J. Bonilla, Bill Heck"," 36,535"
40,Sons of Anarchy,2008–2014,TV-MA , 45 min ," Crime, Drama, Thriller",8.6," Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates"," 297,723"
41,Bad Sisters,2022– ,TV-MA , 53 min ," Comedy, Drama, Thriller",8.3," Sharon Horgan, Claes Bang, Eve Hewson, Sarah Greene"," 14,356"
42,Blue Bloods,2010– ,TV-14 , 43 min ," Crime, Drama, Mystery",7.7," Donnie Wahlberg, Bridget Moynahan, Will Estes, Len Cariou"," 40,945"
43,The Sinner,2017–2021,TV-MA , 45 min ," Crime, Drama, Mystery",7.9," Bill Pullman, Jessica Hecht, Dohn Norwood, Adam LeFevre"," 124,902"
44,Fargo,2014– ,TV-MA , 53 min ," Crime, Drama, Thriller",8.9," Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks"," 373,613"
45,Your Honor,II) (2020–2023,TV-MA , 57 min ," Crime, Drama, Thriller",7.6," Bryan Cranston, Hope Davis, Isiah Whitlock Jr., Amy Landecker"," 46,839"
46,FBI,2018– ,TV-14 , 60 min ," Action, Crime, Drama",7.0," Missy Peregrym, Zeeko Zaki, Jeremy Sisto, Alana De La Garza"," 18,213"
47,Only Murders in the Building,2021– ,TV-MA , 30 min ," Comedy, Crime, Drama",8.1," Steve Martin, Martin Short, Selena Gomez, Amy Ryan"," 101,656"
48,Sherlock,2010–2017,TV-14 , 88 min ," Crime, Drama, Mystery",9.1," Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves"," 924,099"
49,Yellowjackets,2021– ,TV-MA , 60 min ," Drama, Horror, Mystery",7.9," Melanie Lynskey, Tawny Cypress, Ella Purnell, Sophie Nélisse"," 46,885"
50,One Of Us Is Lying,2021– ,TV-MA , 50 min ," Crime, Drama, Mystery",6.8," Annalisa Cochrane, Chibuikem Uche, Marianly Tejada, Cooper van Grootel"," 10,477"
51,Chicago P.D.,2014– ,TV-14 , 43 min ," Action, Crime, Drama",8.1," Jason Beghe, Patrick John Flueger, Marina Squerciati, LaRoyce Hawkins"," 38,884"
52,Dexter,2006–2013,TV-MA , 53 min ," Crime, Drama, Mystery",8.7," Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar"," 725,342"
53,The Equalizer,2021– ,TV-14 , 43 min ," Action, Crime, Drama",5.3," Queen Latifah, Tory Kittles, Adam Goldberg, Liza Lapira"," 13,348"
54,The Midnight Club,2022,TV-MA , 60 min ," Drama, Horror, Mystery",6.6," Iman Benson, Igby Rigney, Ruth Codd, Annarah Cymone"," 22,052"
55,S.W.A.T.,2017– ,TV-14 , 43 min ," Action, Adventure, Crime",7.1," Shemar Moore, Alex Russell, Kenny Johnson, Jay Harrington"," 24,216"
56,The Terminal List,2022– ,TV-MA , 55 min ," Action, Drama, Thriller",8.0," Chris Pratt, Constance Wu, Taylor Kitsch, Riley Keough"," 88,220"
57,The Cleaning Lady,2022– ,TV-MA , 45 min ," Crime, Drama, Thriller",7.0," Elodie Yung, Adan Canto, Oliver Hudson, Martha Millan"," 7,358"
58,True Blood,2008–2014,TV-MA , 55 min ," Drama, Fantasy, Mystery",7.9," Anna Paquin, Stephen Moyer, Sam Trammell, Ryan Kwanten"," 246,425"
59,Prison Break,2005–2017,TV-14 , 44 min ," Action, Crime, Drama",8.3," Dominic Purcell, Wentworth Miller, Amaury Nolasco, Robert Knepper"," 535,231"
60,The Winchesters,2022– ,TV-14 , 42 min ," Action, Adventure, Drama",6.5," Meg Donnelly, Drake Rodger, Nida Khurshid, Jojo Fleites"," 4,726"
61,Money Heist,2017–2021,TV-MA , 70 min ," Action, Crime, Drama",8.2," Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso"," 475,933"
62,Mr. Robot,2015–2019,TV-MA , 49 min ," Crime, Drama, Thriller",8.6," Rami Malek, Christian Slater, Carly Chaikin, Martin Wallström"," 387,626"
63,Halo,2022– ,TV-14 , 60 min ," Action, Adventure, Sci-Fi",7.1," Pablo Schreiber, Shabana Azmi, Natasha Culzac, Olive Gray"," 60,274"
64,The Mentalist,2008–2015,TV-14 , 43 min ," Crime, Drama, Mystery",8.1," Simon Baker, Robin Tunney, Tim Kang, Owain Yeoman"," 185,693"
65,Death in Paradise,2011– ,TV-PG , 60 min ," Comedy, Crime, Drama",7.8," Elizabeth Bourgine, Don Warrington, Danny John-Jules, Tobi Bakare"," 21,467"
66,The Mosquito Coast,2021– ,TV-MA , 60 min ," Adventure, Drama, Thriller",6.9," Justin Theroux, Melissa George, Logan Polish, Gabriel Bateman"," 12,334"
67,Justified,2010–2015,TV-MA , 44 min ," Action, Crime, Drama",8.6," Timothy Olyphant, Nick Searcy, Joelle Carter, Jacob Pitts"," 101,109"
68,Leverage: Redemption,2021– ,TV-14 ,," Crime, Mystery, Thriller",8.3," Gina Bellman, Christian Kane, Beth Riesgraf, Aleyse Shannon"," 18,144"
69,Mayor of Kingstown,2021– ,TV-MA ,," Crime, Drama, Thriller",8.2," Jeremy Renner, Dianne Wiest, Hugh Dillon, Tobi Bamtefa"," 24,265"
70,JoJo's Bizarre Adventure,2012– ,TV-14 , 24 min ," Animation, Action, Adventure",8.4," David Vincent, Matthew Mercer, Daisuke Ono, Unshô Ishizuka"," 24,317"
71,Columbo,1971–2003,TV-PG , 100 min ," Crime, Drama, Mystery",8.3," Peter Falk, Mike Lally, John Finnegan, Bruce Kirby"," 35,793"
72,Banshee,2013–2016,TV-MA , 60 min ," Action, Crime, Drama",8.4," Antony Starr, Ivana Milicevic, Ulrich Thomsen, Frankie Faison"," 105,365"
73,FBI: Most Wanted,2020– ,TV-14 , 45 min ," Action, Crime, Drama",6.9," Roxy Sternberg, Keisha Castle-Hughes, Julian McMahon, YaYa Gosselin"," 8,395"
74,Daredevil,2015–2018,TV-MA , 54 min ," Action, Crime, Drama",8.6," Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll, Elden Henson"," 440,767"
75,Station 19,2018– ,TV-14 , 60 min ," Action, Drama, Romance",6.9," Jaina Lee Ortiz, Jason George, Grey Damon, Barrett Doss"," 15,595"
76,Poirot,1989–2013,TV-14 , 100 min ," Crime, Drama, Mystery",8.6," David Suchet, Hugh Fraser, Philip Jackson, Pauline Moran"," 46,033"
77,Homeland,2011–2020,TV-MA , 55 min ," Crime, Drama, Mystery",8.3," Claire Danes, Mandy Patinkin, Damian Lewis, Rupert Friend"," 342,006"
78,CSI: Crime Scene Investigation,2000–2015,TV-14 , 60 min ," Crime, Drama, Mystery",7.7," Laurence Fishburne, Marg Helgenberger, George Eads, Eric Szmanda"," 84,367"
79,From,2022– ,TV-MA , 52 min ," Drama, Horror, Mystery",7.6," Scott McCord, Harold Perrineau, Catalina Sandino Moreno, Eion Bailey"," 21,447"
80,Person of Interest,2011–2016,TV-14 , 43 min ," Action, Crime, Drama",8.5," Jim Caviezel, Taraji P. Henson, Kevin Chapman, Michael Emerson"," 176,995"
81,Demon Slayer: Kimetsu no Yaiba,2019– ,TV-MA , 24 min ," Animation, Action, Adventure",8.7," Natsuki Hanae, Zach Aguilar, Abby Trott, Yoshitsugu Matsuoka"," 102,446"
82,Happy Valley,2014–2023,TV-MA , 58 min ," Crime, Drama, Thriller",8.5," Sarah Lancashire, Siobhan Finneran, Charlie Murphy, James Norton"," 40,465"
83,Cyberpunk: Edgerunners,2022,TV-MA , 24 min ," Animation, Action, Adventure",8.4," Zach Aguilar, Kenichiro Ohashi, Emi Lo, Aoi Yûki"," 44,668"
84,Teen Wolf,2011–2017,TV-14 , 41 min ," Action, Drama, Fantasy",7.7," Tyler Posey, Holland Roden, Dylan O'Brien, Linden Ashby"," 148,899"
85,Mindhunter,2017–2019,TV-MA , 60 min ," Crime, Drama, Mystery",8.6," Jonathan Groff, Holt McCallany, Anna Torv, Hannah Gross"," 288,604"
86,Squid Game,2021– ,TV-MA , 55 min ," Action, Drama, Mystery",8.0," Lee Jung-jae, Park Hae-soo, Hoyeon, Oh Yeong-su"," 443,344"
87,Cold Case,2003–2010,TV-14 , 44 min ," Crime, Drama, Mystery",7.6," Kathryn Morris, Danny Pino, John Finn, Jeremy Ratchford"," 28,103"
88,"Love, Death & Robots",2019– ,TV-MA , 15 min ," Animation, Short, Action",8.4," Fred Tatasciore, Scott Whyte, Nolan North, Noshir Dalal"," 169,006"
89,Fringe,2008–2013,TV-14 , 46 min ," Drama, Mystery, Sci-Fi",8.4," Anna Torv, Joshua Jackson, John Noble, Jasika Nicole"," 242,325"
90,Carnival Row,2019–2023,TV-MA , 56 min ," Crime, Drama, Fantasy",7.8," Jamie Harris, Orlando Bloom, Cara Delevingne, Simon McBurney"," 63,885"
91,Narcos,2015–2017,TV-MA , 49 min ," Biography, Crime, Drama",8.8," Pedro Pascal, Wagner Moura, Boyd Holbrook, Alberto Ammann"," 421,864"
92,24,2001–2010,TV-14 , 44 min ," Action, Crime, Drama",8.4," Kiefer Sutherland, Mary Lynn Rajskub, Carlos Bernard, Dennis Haysbert"," 187,096"
93,The Americans,2013–2018,TV-MA , 44 min ," Crime, Drama, Mystery",8.4," Keri Russell, Matthew Rhys, Keidrich Sellati, Holly Taylor"," 100,240"
94,Veronica Mars,2004–2019,TV-14 , 44 min ," Crime, Drama, Mystery",8.4," Kristen Bell, Jason Dohring, Enrico Colantoni, Percy Daggs III"," 73,852"
95,Twin Peaks,1990–1991,TV-MA , 47 min ," Crime, Drama, Mystery",8.8," Kyle MacLachlan, Michael Ontkean, Mädchen Amick, Dana Ashbrook"," 198,162"
96,Blue Lock,2022– ,TV-14 , 22 min ," Animation, Action, Mystery",8.5," Drew Breedlove, Aaron Dismuke, Spencer Liles, Anthony DiMascio"," 2,216"
97,The Leftovers,2014–2017,TV-MA , 60 min ," Drama, Fantasy, Mystery",8.3," Justin Theroux, Amy Brenneman, Christopher Eccleston, Liv Tyler"," 99,185"
98,Babylon Berlin,2017– ,TV-MA , 45 min ," Crime, Drama, Thriller",8.4," Volker Bruch, Liv Lisa Fries, Lars Eidinger, Jens Harzer"," 25,113"
99,How to Get Away with Murder,2014–2020,TV-14 , 43 min ," Crime, Drama, Mystery",8.1," Viola Davis, Billy Brown, Jack Falahee, Aja Naomi King"," 152,236"
100,Agents of S.H.I.E.L.D.,2013–2020,TV-PG , 45 min ," Action, Adventure, Drama",7.5," Clark Gregg, Ming-Na Wen, Brett Dalton, Iain De Caestecker"," 217,643"
101,The Punisher,2017–2019,TV-MA , 53 min ," Action, Crime, Drama",8.5," Jon Bernthal, Amber Rose Revah, Ben Barnes, Jason R. Moore"," 236,481"
102,Pretty Little Liars,2010–2017,TV-14 , 44 min ," Drama, Mystery, Romance",7.4," Troian Bellisario, Ashley Benson, Lucy Hale, Shay Mitchell"," 168,010"
103,American Gigolo,2022– ,TV-MA , 55 min ," Crime, Drama, Mystery",7.0," Jon Bernthal, Gretchen Mol, Lizzie Brocheré, Gabriel LaBelle"," 4,526"
104,Line of Duty,2012–2021,TV-14 , 60 min ," Crime, Drama, Mystery",8.7," Martin Compston, Vicky McClure, Adrian Dunbar, Craig Parkinson"," 59,656"
105,Gotham,2014–2019,TV-14 , 42 min ," Action, Crime, Drama",7.8," Ben McKenzie, Jada Pinkett Smith, Donal Logue, Camren Bicondova"," 230,918"
106,Outer Banks,2020– ,TV-MA , 50 min ," Action, Crime, Drama",7.6," Chase Stokes, Madelyn Cline, Madison Bailey, J.D."," 50,076"
107,Somebody,2022– ,,48 min ," Crime, Drama, Thriller",5.8," Kim Young-kwang, Kang Hae-Lim, Su-yeon Kim, Yuuki Luna", 639
108,13 Reasons Why,2017–2020,TV-MA , 60 min ," Drama, Mystery, Thriller",7.5," Dylan Minnette, Katherine Langford, Christian Navarro, Alisha Boe"," 292,809"
109,The Lincoln Lawyer,2022– ,TV-MA , 60 min ," Crime, Drama, Mystery",7.7," Manuel Garcia-Rulfo, Neve Campbell, Becki Newton, Angus Sampson"," 37,807"
110,C.B. Strike,2017– ,TV-MA , 60 min ," Crime, Drama, Mystery",7.9," Tom Burke, Holliday Grainger, Kerr Logan, Killian Scott"," 15,278"
111,Dharavi Bank,2022– ,,,"Crime, Drama, Thriller",9.0," Suniel Shetty, Vivek Oberoi, Sonali Kulkarni, Akshay Poptani"," 3,822"
112,The Twilight Zone,1959–1964,TV-PG , 51 min ," Drama, Fantasy, Horror",9.1," Rod Serling, Robert McCord, Jay Overholts, Vaughn Taylor"," 83,920"
113,Evil,2019– ,TV-14 , 42 min ," Crime, Drama, Horror",7.7," Katja Herbers, Mike Colter, Aasif Mandvi, Michael Emerson"," 27,161"
114,Invincible,2021– ,TV-MA , 50 min ," Animation, Action, Adventure",8.7," Steven Yeun, J.K. Simmons, Sandra Oh, Zazie Beetz"," 136,900"
115,Hannibal,2013–2015,TV-MA , 44 min ," Crime, Drama, Horror",8.5," Hugh Dancy, Mads Mikkelsen, Caroline Dhavernas, Laurence Fishburne"," 255,689"
116,SPY×FAMILY,2022– ,TV-14 , 24 min ," Animation, Action, Comedy",8.5," Takuya Eguchi, Atsumi Tanezaki, Saori Hayami, Ken'ichirô Matsuda"," 23,508"
117,The Capture,2019– ,TV-MA , 60 min ," Crime, Mystery, Thriller",7.9," Holliday Grainger, Ben Miles, Lia Williams, Cavan Clerkin"," 18,151"
118,9-1-1: Lone Star,2020– ,TV-14 , 43 min ," Action, Drama, Thriller",7.1," Rob Lowe, Ronen Rubinstein, Sierra Aylina McClain, Jim Parrack"," 15,136"
119,Scandal,2012–2018,TV-14 , 43 min ," Drama, Thriller",7.7," Kerry Washington, Darby Stanchfield, Katie Lowes, Guillermo Diaz"," 74,316"
120,Locke & Key,2020–2022,TV-14 , 48 min ," Drama, Fantasy, Horror",7.3," Darby Stanchfield, Connor Jessup, Emilia Jones, Jackson Robert Scott"," 87,139"
121,Chilling Adventures of Sabrina,2018–2020,TV-14 , 60 min ," Drama, Fantasy, Horror",7.4," Kiernan Shipka, Ross Lynch, Lucy Davis, Chance Perdomo"," 95,734"
122,FBI: International,2021– ,TV-14 , 43 min ," Action, Adventure, Crime",6.3," Luke Kleintank, Heida Reed, Carter Redwood, Vinessa Vidotto"," 4,229"
123,Killing Eve,2018–2022,TV-14 , 42 min ," Action, Adventure, Drama",8.1," Jodie Comer, Sandra Oh, Fiona Shaw, Kim Bodnia"," 119,275"
124,Alice in Borderland,2020– ,TV-MA , 50 min ," Action, Drama, Mystery",7.6," Kento Yamazaki, Tao Tsuchiya, Nijirô Murakami, Yûtarô Watanabe"," 52,823"
125,Black Summer,2019–2021,TV-MA , 40 min ," Action, Drama, Horror",6.6," Jaime King, Justin Chu Cary, Christine Lee, Zoe Marlett"," 30,403"
126,Bloodline,2015–2017,TV-MA , 60 min ," Drama, Thriller",7.9," Kyle Chandler, Ben Mendelsohn, Linda Cardellini, Sissy Spacek"," 53,095"
127,Outer Range,2022– ,TV-MA , 60 min ," Drama, Mystery, Thriller",7.1," Josh Brolin, Imogen Poots, Lili Taylor, Tom Pelphrey"," 27,069"
128,Law & Order: Organized Crime,2021– ,TV-14 , 42 min ," Crime, Drama, Mystery",7.7," Christopher Meloni, Danielle Moné Truitt, Ainsley Seiger, Mike Cannon"," 7,479"
129,The Man in the High Castle,2015–2019,TV-MA , 60 min ," Drama, Sci-Fi, Thriller",7.9," Alexa Davalos, Luke Kleintank, Rufus Sewell, Rupert Evans"," 101,737"
130,Mirzapur,2018– ,TV-MA , 60 min ," Action, Crime, Drama",8.5," Pankaj Tripathi, Ali Fazal, Shweta Tripathi, Rasika Dugal"," 72,603"
131,The Flight Attendant,2020–2022,TV-MA ,," Comedy, Drama, Mystery",7.1," Kaley Cuoco, Zosia Mamet, Griffin Matthews, Rosie Perez"," 56,306"
132,Oz,1997–2003,TV-MA , 55 min ," Crime, Drama, Thriller",8.7," Ernie Hudson, J.K. Simmons, Lee Tergesen, Dean Winters"," 99,841"
133,The End of the F***ing World,2017–2019,TV-MA , 25 min ," Adventure, Comedy, Crime",8.1," Jessica Barden, Alex Lawther, Steve Oram, Christine Bottomley"," 190,772"
134,Leopard Skin,2022– ,,28 min ," Crime, Thriller",6.5," Carla Gugino, Ana de la Reguera, Gaite Jansen, Amelia Eve", 425
135,The Dragon Prince,2018– ,TV-Y7 , 26 min ," Animation, Action, Adventure",8.3," Paula Burrows, Jack De Sena, Sasha Rojen, Jason Simpson"," 23,774"
136,Luther,2010–2019,TV-MA , 60 min ," Crime, Drama, Mystery",8.4," Idris Elba, Dermot Crowley, Michael Smiley, Warren Brown"," 137,263"
137,Taboo,2017– ,TV-MA , 59 min ," Drama, Mystery, Thriller",8.3," Tom Hardy, David Hayman, Jonathan Pryce, Oona Chaplin"," 138,868"
138,NYPD Blue,1993–2005,TV-14 , 45 min ," Crime, Drama, Mystery",7.7," Dennis Franz, Jimmy Smits, Gordon Clapp, James McDaniel"," 14,275"
139,American Horror Stories,2021– ,TV-MA , 45 min ," Drama, Horror, Mystery",6.2," Sierra McCormick, Paris Jackson, Merrin Dungey, Selena Sloan"," 21,951"
140,Tanaav,2022– ,,,"Action, Crime, Drama",8.6," Manav Vij, Arbaaz Khan, Shashank Arora, Sukhmani Sadana"," 2,920"
141,Designated Survivor,2016–2019,TV-14 , 60 min ," Action, Drama, Mystery",7.5," Kiefer Sutherland, Adan Canto, Italia Ricci, Kal Penn"," 91,744"
142,The Pact,I) (2021– ,,60 min ," Drama, Mystery, Thriller",6.9," Rakie Ayola, Laura Fraser, Julie Hesmondhalgh, Eiry Thomas"," 3,600"
143,Heroes,II) (2006–2010,TV-14 , 45 min ," Drama, Fantasy, Sci-Fi",7.5," Jack Coleman, Hayden Panettiere, Milo Ventimiglia, Masi Oka"," 242,139"
144,Angel,1999–2004,TV-14 , 44 min ," Action, Drama, Fantasy",7.9," David Boreanaz, Charisma Carpenter, Alexis Denisof, J. August Richards"," 71,160"
145,Death Note,2006–2007,TV-14 , 24 min ," Animation, Crime, Drama",9.0," Mamoru Miyano, Brad Swaile, Vincent Tong, Ryô Naitô"," 323,247"
146,Snowpiercer,2020–2023,TV-MA , 60 min ," Action, Drama, Sci-Fi",6.9," Daveed Diggs, Mickey Sumner, Alison Wright, Iddo Goldberg"," 55,268"
147,Top Boy,2011– ,TV-MA , 60 min ," Crime, Drama, Thriller",8.4," Ashley Walters, Kano, Micheal Ward, Jasmine Jobson"," 26,117"
148,CSI: Miami,2002–2012,TV-14 , 43 min ," Action, Crime, Drama",6.4," David Caruso, Emily Procter, Adam Rodriguez, Rex Linn"," 57,960"
149,The Fall,I) (2013–2016,TV-MA , 60 min ," Crime, Drama, Thriller",8.1," Gillian Anderson, Jamie Dornan, John Lynch, Aisling Franciosi"," 106,145"
150,The Resort,2022– ,TV-MA , 35 min ," Comedy, Mystery, Thriller",7.3," Cristin Milioti, William Jackson Harper, Luis Gerardo Méndez, Skyler Gisondo"," 7,181"
151,Servant,2019– ,TV-MA , 30 min ," Drama, Horror, Mystery",7.5," Lauren Ambrose, Toby Kebbell, Nell Tiger Free, Rupert Grint"," 35,440"
152,Leverage,2008–2012,TV-PG , 42 min ," Crime, Mystery, Thriller",7.9," Timothy Hutton, Gina Bellman, Christian Kane, Beth Riesgraf"," 51,601"
153,Law & Order: Criminal Intent,2001–2011,TV-14 , 60 min ," Crime, Drama, Mystery",7.5," Kathryn Erbe, Vincent D'Onofrio, Jamey Sheridan, Courtney B. Vance"," 25,904"
154,Jujutsu Kaisen,2020– ,TV-MA , 24 min ," Animation, Action, Adventure",8.6," Junya Enoki, Adam McArthur, Yûichi Nakamura, Yuma Uchida"," 61,365"
155,Fauda,2015– ,TV-MA , 60 min ," Action, Drama, Thriller",8.2," Lior Raz, Itzik Cohen, Neta Garty, Rona-Lee Shim'on"," 27,299"
156,Mayans M.C.,2018– ,TV-MA , 60 min ," Crime, Drama, Thriller",7.6," JD Pardo, Clayton Cardenas, Carla Baratta, Sarah Bolger"," 19,214"
157,The Terror,2018–2019,TV-14 , 60 min ," Adventure, Drama, Horror",7.9," Jared Harris, Derek Mio, Tobias Menzies, Kiki Sukezane"," 45,381"
158,Revenge of Others,2022– ,,60 min ," Drama, Mystery, Thriller",8.3," Ye-Eun Shin, Park Solomon, Seo Ji-Hoon, Sang-woo Chae", 256
159,The Killing,2011–2014,TV-14 , 45 min ," Crime, Drama, Mystery",8.3," Mireille Enos, Joel Kinnaman, Billy Campbell, Liam James"," 112,719"
160,Scorpion,2014–2018,TV-14 , 43 min ," Action, Crime, Drama",7.0," Elyes Gabel, Katharine McPhee, Eddie Kaye Thomas, Jadyn Wong"," 54,485"
161,Karppi,2018–2021,TV-MA , 45 min ," Crime, Drama, Mystery",7.3," Pihla Viitala, Lauri Tilkanen, Mimosa Willamo, Noa Tola"," 10,640"
