index,Member,Party,State,Chamber,Raised,Spent,Cash on Hand,Debts
61,Bob Good,Republican,Virginia,House,"$1,038,921","$772,587","$316,670",$0
62,Bob Latta,Republican,Ohio,House,"$1,411,641","$973,991","$1,157,114",$0
63,Bobby Rush,Democratic,Illinois,House,"$193,192","$286,417","$18,395","$23,489"
64,Bobby Scott,Democratic,Virginia,House,"$758,691","$555,196","$398,701","$3,191"
65,Bonnie Watson Coleman,Democratic,New Jersey,House,"$781,122","$600,927","$287,355",$0
66,Brad Finstad,Republican,Minnesota,House,"$1,242,835","$906,093","$336,741",$0
67,Brad Schneider,Democratic,Illinois,House,"$3,360,517","$3,689,920","$1,544,359",$0
68,Brad Sherman,Democratic,California,House,"$1,593,208","$1,395,216","$2,822,613",$117
69,Brad Wenstrup,Republican,Ohio,House,"$1,904,466","$1,143,230","$1,222,482",$0
70,Brenda Lawrence,Democratic,Michigan,House,"$344,191","$318,197","$917,179",$0
71,Brendan Boyle,Democratic,Pennsylvania,House,"$1,406,396","$617,930","$2,257,207",$0
72,Brett Guthrie,Republican,Kentucky,House,"$2,094,504","$1,667,628","$2,283,550",$0
73,Brian Babin,Republican,Texas,House,"$875,803","$828,729","$832,155",$0
74,Brian Fitzpatrick,Republican,Pennsylvania,House,"$3,991,112","$2,820,247","$1,219,189","$24,750"
75,Brian Higgins,Democratic,New York,House,"$1,447,143","$1,495,264","$1,062,931",$0
76,Brian Mast,Republican,Florida,House,"$6,007,472","$4,690,006","$2,311,828",$0
77,Brian Schatz,Democratic,Hawaii,Senate,"$2,328,949","$2,184,358","$3,207,427",$0
78,Bruce Westerman,Republican,Arkansas,House,"$1,656,992","$931,947","$1,701,850",$0
79,Bryan Steil,Republican,Wisconsin,House,"$3,232,315","$1,764,088","$1,843,730",$0
80,Buddy Carter,Republican,Georgia,House,"$1,854,187","$1,655,991","$1,904,121",$0
81,Burgess Owens,Republican,Utah,House,"$3,149,814","$2,842,400","$387,742",$0
82,Byron Donalds,Republican,Florida,House,"$5,225,390","$4,960,375","$745,908",$0
83,Carlos Gimenez,Republican,Florida,House,"$2,016,114","$705,336","$1,349,948","$35,000"
84,Carol Miller,Republican,West Virginia,House,"$1,084,888","$983,753","$268,141","$442,992"
85,Carolyn Bourdeaux,Democratic,Georgia,House,"$2,746,695","$2,842,137","$18,505",$0
86,Carolyn Maloney,Democratic,New York,House,"$4,353,630","$4,076,246","$393,800","$1,463,000"
87,Catherine Cortez Masto,Democratic,Nevada,Senate,"$37,993,811","$35,928,936","$5,089,745",$0
88,Cathy McMorris Rodgers,Republican,Washington,House,"$5,808,554","$4,589,556","$2,294,548",$0
89,Chuck Schumer,Democratic,New York,Senate,"$35,899,966","$25,944,350","$20,231,213",$0
90,Charlie Crist,Democratic,Florida,House,"$381,761","$800,480",$289,$0
91,Chellie Pingree,Democratic,Maine,House,"$509,569","$361,902","$594,325","$20,000"
92,Cheri Bustos,Democratic,Illinois,House,"$167,506","$302,234","$783,896",$0
93,Chip Roy,Republican,Texas,House,"$2,071,661","$1,281,527","$1,253,716",$0
94,Chris Coons,Democratic,Delaware,Senate,"$858,263","$815,704","$1,883,072",$0
95,Chris Jacobs,Republican,New York,House,"$474,819","$537,648",$0,"$346,561"
96,Chris Pappas,Democratic,New Hampshire,House,"$4,220,118","$2,218,578","$2,215,452",$0
97,Chris Smith,Republican,New Jersey,House,"$1,332,282","$1,123,490","$350,366",$0
98,Chris Stewart,Republican,Utah,House,"$996,345","$879,282","$281,756",$0
99,Chris Van Hollen,Democratic,Maryland,Senate,"$6,167,303","$5,211,295","$2,286,105","$2,209"
100,Chrissy Houlahan,Democratic,Pennsylvania,House,"$4,418,709","$1,764,928","$5,763,037",$0
101,Christopher S. Murphy,Democratic,Connecticut,Senate,"$569,007","$1,158,935","$4,177,754",$0
102,Chuck Fleischmann,Republican,Tennessee,House,"$510,936","$388,755","$2,002,521",$0
103,Chuck Grassley,Republican,Iowa,Senate,"$7,828,900","$5,762,066","$3,905,425",$0
104,Cindy Axne,Democratic,Iowa,House,"$6,131,905","$4,403,176","$1,748,249",$0
105,Cindy Hyde-Smith,Republican,Mississippi,Senate,"$806,946","$652,320","$323,168","$60,000"
106,Claudia Tenney,Republican,New York,House,"$2,989,524","$3,080,490","$311,901",$0
107,Clay Higgins,Republican,Louisiana,House,"$856,339","$613,999","$314,102",$0
108,Cliff Bentz,Republican,Oregon,House,"$1,010,336","$464,018","$635,371","$48,100"
109,Colin Allred,Democratic,Texas,House,"$3,119,825","$1,359,247","$1,920,000",$0
110,Conor Lamb,Democratic,Pennsylvania,House,"$5,272,240","$6,054,169","$51,890",$0
111,Cori Bush,Democratic,Missouri,House,"$2,212,505","$2,264,075","$32,932","$14,477"
112,Cory Booker,Democratic,New Jersey,Senate,"$5,794,554","$4,010,634","$7,671,026",$0
113,Cynthia Lummis,Republican,Wyoming,Senate,"$220,970","$205,300","$130,119",$0
114,Dan Bishop,Republican,North Carolina,House,"$1,793,984","$605,473","$1,248,907","$9,336"
115,Dan Crenshaw,Republican,Texas,House,"$14,535,870","$14,512,435","$1,876,149",$0
116,Dan Kildee,Democratic,Michigan,House,"$4,798,334","$3,909,159","$1,670,896",$0
117,Dan Meuser,Republican,Pennsylvania,House,"$853,475","$907,109","$86,975",$0
118,Dan Newhouse,Republican,Washington,House,"$1,979,358","$1,796,234","$482,842","$38,400"
119,Dan Sullivan,Republican,Alaska,Senate,"$629,343","$429,962","$931,124",$0
120,Daniel Webster,Republican,Florida,House,"$704,798","$594,814","$320,685",$0
121,Danny K. Davis,Democratic,Illinois,House,"$570,467","$876,190","-$64,781","$58,954"
122,Darin LaHood,Republican,Illinois,House,"$3,632,692","$2,416,383","$4,306,879",$0
123,Darrell Issa,Republican,California,House,"$1,115,797","$960,887","$447,473","$5,081,387"
124,Darren Soto,Democratic,Florida,House,"$1,191,099","$888,596","$474,902",$0
125,David Cicilline,Democratic,Rhode Island,House,"$1,838,461","$1,209,603","$1,157,906",$0
126,David Kustoff,Republican,Tennessee,House,"$1,800,445","$1,127,286","$1,386,991","$248,000"
127,David McKinley,Republican,West Virginia,House,"$2,111,035","$2,497,268","$6,978","$935,000"
128,David Joyce,Republican,Ohio,House,"$2,367,635","$798,352","$2,235,774",$0
129,David Price,Democratic,North Carolina,House,"$199,991","$390,173","$123,133",$0
130,David Rouzer,Republican,North Carolina,House,"$1,204,897","$1,073,920","$1,559,476",$0
131,David Schweikert,Republican,Arizona,House,"$1,646,710","$1,461,715","$244,577","$242,755"
132,David Scott,Democratic,Georgia,House,"$1,911,503","$1,590,932","$782,219","$27,100"
133,David Trone,Democratic,Maryland,House,"$12,990,741","$6,878,050","$6,206,371","$13,302,000"
134,David Valadao,Republican,California,House,"$3,215,917","$1,934,922","$1,436,824",$0
135,Dean Phillips,Democratic,Minnesota,House,"$2,049,518","$1,546,193","$721,391","$250,000"
136,Deb Fischer,Republican,Nebraska,Senate,"$983,002","$575,589","$1,235,905",$0
137,Debbie Dingell,Democratic,Michigan,House,"$1,427,992","$1,075,784","$789,922",$0
138,Debbie Lesko,Republican,Arizona,House,"$1,076,710","$806,104","$959,238",$0
139,Debbie Stabenow,Democratic,Michigan,Senate,"$3,437,752","$1,675,633","$4,280,511",$0
140,Debbie Wasserman Schultz,Democratic,Florida,House,"$1,881,484","$1,447,640","$1,050,075",$0
141,Deborah Ross,Democratic,North Carolina,House,"$1,936,676","$1,350,959","$1,037,175",$0
142,Derek Kilmer,Democratic,Washington,House,"$2,461,642","$2,393,151","$3,056,589",$0
143,Diana DeGette,Democratic,Colorado,House,"$1,029,410","$935,113","$371,669",$0
144,Diana Harshbarger,Republican,Tennessee,House,"$1,720,763","$1,133,074","$845,534","$250,000"
145,Dianne Feinstein,Democratic,California,Senate,"$9,778","$47,909","$9,888","$500,000"
146,Dick Durbin,Democratic,Illinois,Senate,"$1,028,474","$650,774","$1,454,186",$0
147,Dina Titus,Democratic,Nevada,House,"$2,588,432","$1,948,461","$968,861",$0
148,Don Bacon,Republican,Nebraska,House,"$3,367,598","$2,665,450","$787,186",$0
149,Don Beyer,Democratic,Virginia,House,"$1,993,756","$2,034,811","$598,966",$0
150,Don Norcross,Democratic,New Jersey,House,"$1,836,753","$2,164,438","$1,596,978",$0
151,Donald Payne Jr.,Democratic,New Jersey,House,"$1,260,631","$1,338,120","$103,782",$0
152,Donald McEachin,Democratic,Virginia,House,"$821,439","$722,678","$307,893",$0
153,Doris Matsui,Democratic,California,House,"$1,284,829","$1,151,252","$402,988",$0
154,Doug LaMalfa,Republican,California,House,"$783,541","$367,065","$507,617",$430
155,Doug Lamborn,Republican,Colorado,House,"$465,226","$661,939","$232,064",$0
156,Drew Ferguson,Republican,Georgia,House,"$3,163,351","$2,731,173","$770,264",$0
157,Dusty Johnson,Republican,South Dakota,House,"$2,447,306","$1,232,550","$2,264,896",$0
158,Dutch Ruppersberger,Democratic,Maryland,House,"$970,454","$830,599","$1,344,068",$0
159,Dwight Evans,Democratic,Pennsylvania,House,"$1,083,660","$1,069,356","$196,906",$0
160,Earl Blumenauer,Democratic,Oregon,House,"$1,218,880","$1,185,765","$790,459",$0
161,Ed Case,Democratic,Hawaii,House,"$991,211","$606,459","$501,453",$0
162,Ed Markey,Democratic,Massachusetts,Senate,"$904,754","$998,253","$1,558,477",$0
163,Ed Perlmutter,Democratic,Colorado,House,"$627,622","$959,386","$721,931",$0
164,Eddie Bernice Johnson,Democratic,Texas,House,"$15,000","$111,535","$319,149",$0
165,Elaine Luria,Democratic,Virginia,House,"$8,724,776","$5,845,980","$3,020,970",$0
166,Eleanor Holmes Norton,Democratic,District of Columbia,Senate,"$217,953","$273,075","$42,506",$0
167,Elise Stefanik,Republican,New York,House,"$8,417,574","$7,381,711","$3,019,403",$0
168,Elissa Slotkin,Democratic,Michigan,House,"$8,700,992","$6,471,192","$3,796,480",$0
169,Elizabeth Warren,Democratic,Massachusetts,Senate,"$4,754,168","$3,828,062","$2,251,694",$0
170,Emanuel Cleaver,Democratic,Missouri,House,"$1,042,771","$914,101","$1,056,533",$0
171,Eric Swalwell,Democratic,California,House,"$3,390,174","$2,979,716","$913,386",$0
172,Frank Lucas,Republican,Oklahoma,House,"$1,388,678","$1,424,753","$246,103",$0
173,Frank Mrvan,Democratic,Indiana,House,"$1,871,503","$1,594,630","$391,100",$0
174,Frank Pallone Jr.,Democratic,New Jersey,House,"$2,803,934","$2,339,583","$3,801,946",$0
175,Fred Keller,Republican,Pennsylvania,House,"$634,266","$677,872","$432,173",$0
176,Fred Upton,Republican,Michigan,House,"$1,396,865","$1,035,867","$548,873",$0
177,Frederica Wilson,Democratic,Florida,House,"$563,173","$372,925","$610,833","$15,250"
178,French Hill,Republican,Arkansas,House,"$2,895,371","$2,141,876","$1,164,573",$0
179,G.K. Butterfield,Democratic,North Carolina,House,"$217,083","$549,535","$331,504",$0
180,Garret Graves,Republican,Louisiana,House,"$1,733,173","$1,156,648","$2,603,433",$0
181,Gary Palmer,Republican,Alabama,House,"$1,113,250","$1,011,061","$472,876",$0
182,Gary Peters,Democratic,Michigan,Senate,"$3,667,685","$811,365","$4,626,592",$0
183,Gerry Connolly,Democratic,Virginia,House,"$1,941,614","$1,056,208","$3,777,325","$40,631"
184,Glenn Grothman,Republican,Wisconsin,House,"$1,210,017","$905,520","$573,927","$139,110"
185,Glenn Thompson,Republican,Pennsylvania,House,"$2,412,193","$2,084,240","$421,129",$0
186,Grace Meng,Democratic,New York,House,"$1,423,370","$900,247","$918,643",$0
187,Grace Napolitano,Democratic,California,House,"$295,443","$176,910","$651,863","$5,000"
188,Greg Murphy,Republican,North Carolina,House,"$1,724,862","$1,227,846","$759,247",$0
189,Greg Pence,Republican,Indiana,House,"$2,097,733","$2,112,033","$496,526","$20,574"
190,Greg Stanton,Democratic,Arizona,House,"$3,879,556","$2,971,064","$1,952,894",$0
191,Greg Steube,Republican,Florida,House,"$1,472,022","$831,312","$964,486",$0
192,Gregory Meeks,Democratic,New York,House,"$2,498,238","$1,474,002","$1,805,708",$0
193,Gus Bilirakis,Republican,Florida,House,"$1,746,079","$1,488,258","$332,931",$0
194,Guy Reschenthaler,Republican,Pennsylvania,House,"$1,701,888","$1,831,816","$557,651",$0
195,Gwen Moore,Democratic,Wisconsin,House,"$1,042,952","$966,329","$110,623",$0
196,Hakeem Jeffries,Democratic,New York,House,"$5,529,626","$4,878,372","$2,796,536",$0
197,Hal Rogers,Republican,Kentucky,House,"$696,558","$859,416","$674,044",$0
198,Haley Stevens,Democratic,Michigan,House,"$5,300,715","$4,643,235","$742,473",$0
199,Hank Johnson,Democratic,Georgia,House,"$481,307","$570,238","$93,468","$6,211"
200,Henry Cuellar,Democratic,Texas,House,"$4,269,860","$4,984,190","$836,142",$0
201,Ilhan Omar,Democratic,Minnesota,House,"$2,828,252","$2,786,198","$209,823",$0
202,Jack Reed,Democratic,Rhode Island,Senate,"$472,779","$557,790","$1,924,376",$0
203,Jackie Speier,Democratic,California,House,"$273,672","$335,736","$1,717,707",$477
204,Jacky Rosen,Democratic,Nevada,Senate,"$4,215,388","$2,470,764","$3,406,319","$15,000"
205,Jahana Hayes,Democratic,Connecticut,House,"$2,253,420","$1,724,204","$1,558,823",$0
206,Jaime Herrera Beutler,Republican,Washington,House,"$3,078,342","$3,127,968","$36,537","$47,000"
207,Jake Auchincloss,Democratic,Massachusetts,House,"$2,824,798","$937,214","$2,345,366",$0
208,Jake Ellzey,Republican,Texas,House,"$6,278,712","$5,713,656","$565,055",$0
209,Jake LaTurner,Republican,Kansas,House,"$1,393,362","$588,372","$819,937",$0
210,Jamaal Bowman,Democratic,New York,House,"$1,754,371","$1,720,690","$111,155","$26,410"
211,James Comer,Republican,Kentucky,House,"$1,506,882","$779,716","$1,129,628",$0
212,James Clyburn,Democratic,South Carolina,House,"$3,208,608","$2,644,422","$2,544,681",$0
213,Jim Risch,Republican,Idaho,Senate,"$403,990","$302,624","$2,288,912",$0
214,James Lankford,Republican,Oklahoma,Senate,"$5,429,416","$3,860,244","$2,482,347",$0
215,Jim McGovern,Democratic,Massachusetts,House,"$975,577","$783,053","$457,469",$0
216,Jamie Raskin,Democratic,Maryland,House,"$4,160,925","$2,465,547","$3,033,907",$0
217,Jan Schakowsky,Democratic,Illinois,House,"$1,445,030","$1,283,092","$910,992",$0
218,Jared Golden,Democratic,Maine,House,"$5,051,130","$3,902,805","$1,279,185",$0
219,Jared Huffman,Democratic,California,House,"$827,098","$670,493","$1,079,047",$0
220,Jason Crow,Democratic,Colorado,House,"$2,417,062","$1,789,315","$1,916,752",$0
221,Jason Smith,Republican,Missouri,House,"$2,714,726","$3,419,235","$827,170",$0
222,Jay Obernolte,Republican,California,House,"$854,849","$559,391","$365,041","$1,331,970"
223,Jeanne Shaheen,Democratic,New Hampshire,Senate,"$1,020,109","$825,784","$1,312,786",$0
224,Jeff Duncan,Republican,South Carolina,House,"$1,536,235","$1,333,874","$684,771",$0
225,Jeff Merkley,Democratic,Oregon,Senate,"$1,558,322","$1,259,364","$4,104,519",$0
226,Jeff Van Drew,Republican,New Jersey,House,"$2,816,286","$2,083,474","$924,689",$0
227,Jennifer Wexton,Democratic,Virginia,House,"$3,369,890","$2,379,436","$3,131,151",$0
228,Jenniffer Gonzalez,Republican,Puerto Rico,Senate,"$560,343","$407,384","$265,291",$0
229,Jerrold Nadler,Democratic,New York,House,"$2,124,293","$2,523,595","$124,113",$0
230,Jerry Carl,Republican,Alabama,House,"$923,401","$524,947","$510,426","$474,738"
231,Jerry McNerney,Democratic,California,House,"$538,284","$636,872","$135,584",$0
232,Jerry Moran,Republican,Kansas,Senate,"$4,880,505","$1,296,606","$6,134,163","$333,216"
233,Jesus Garcia,Democratic,Illinois,House,"$844,278","$737,068","$233,967",$0
234,Jim Baird,Republican,Indiana,House,"$335,990","$253,537","$345,255","$170,000"
235,Jim Banks,Republican,Indiana,House,"$2,302,093","$1,286,076","$1,460,443","$27,052"
236,Jim Cooper,Democratic,Tennessee,House,"$561,230","$565,141","$269,023",$0
237,Jim Costa,Democratic,California,House,"$1,727,906","$1,181,490","$956,586","$3,435"
238,Jim Himes,Democratic,Connecticut,House,"$1,520,006","$1,252,777","$2,090,429",$0
239,Jim Jordan,Republican,Ohio,House,"$12,417,107","$9,675,701","$8,855,217",$0
240,Jim Langevin,Democratic,Rhode Island,House,"$402,848","$520,692","$593,630",$0
241,Jimmy Gomez,Democratic,California,House,"$1,566,445","$1,093,316","$962,647","$13,201"
242,Jimmy Panetta,Democratic,California,House,"$2,287,480","$1,346,762","$2,116,074",$0
243,Joaquin Castro,Democratic,Texas,House,"$638,820","$482,993","$271,573",$0
244,Jodey Arrington,Republican,Texas,House,"$1,888,539","$1,568,139","$1,419,753",$0
245,Jody Hice,Republican,Georgia,House,"-$42,855","$181,189","$25,871",$0
246,Joe Courtney,Democratic,Connecticut,House,"$1,729,051","$1,272,645","$1,172,217",$0
247,Joe Manchin,Democratic,West Virginia,Senate,"$7,790,164","$835,794","$9,414,431",$0
248,Joe Sempolinski,Republican,New York,House,"$241,369","$240,382",$986,"$18,000"
249,Joe Wilson,Republican,South Carolina,House,"$910,221","$683,561","$301,026",$0
250,John Barrasso,Republican,Wyoming,Senate,"$1,480,419","$1,320,611","$4,281,697",$0
251,John Bergman,Republican,Michigan,House,"$1,622,189","$1,012,886","$749,702","$72,680"
252,John Boozman,Republican,Arkansas,Senate,"$6,252,176","$5,947,581","$1,211,436",$0
253,John Carter,Republican,Texas,House,"$1,192,842","$1,006,781","$386,467",$0
254,John Cornyn,Republican,Texas,Senate,"$1,974,574","$1,155,981","$1,452,053",$0
255,John Curtis,Republican,Utah,House,"$1,898,707","$1,670,631","$579,381",$0
256,John Garamendi,Democratic,California,House,"$1,012,953","$996,030","$1,128,045",$0
257,John Hickenlooper,Democratic,Colorado,Senate,"$864,182","$1,205,871","$1,300,393",$0
258,John Hoeven,Republican,North Dakota,Senate,"$2,941,980","$2,775,658","$2,263,638","$100,000"
259,John Joyce,Republican,Pennsylvania,House,"$1,373,506","$395,221","$1,697,167","$906,423"
260,John Katko,Republican,New York,House,"$1,517,310","$827,000","$962,371",$0
261,John Kennedy,Republican,Louisiana,Senate,"$28,119,082","$18,276,565","$15,530,074",$0
262,John Larson,Democratic,Connecticut,House,"$1,614,911","$1,506,215","$526,071","$11,992"
263,John Moolenaar,Republican,Michigan,House,"$1,992,376","$2,034,990","$568,532","$33,345"
264,John Rose,Republican,Tennessee,House,"$1,442,822","$573,729","$1,323,467","$1,997,460"
265,John Rutherford,Republican,Florida,House,"$710,380","$548,875","$268,442",$0
266,John Sarbanes,Democratic,Maryland,House,"$177,476","$582,519","$631,740",$0
267,John Thune,Republican,South Dakota,Senate,"$6,770,674","$2,763,217","$17,419,927",$0
268,John Yarmuth,Democratic,Kentucky,House,"$190,197","$236,256","$123,787","$132,262"
269,Jon Ossoff,Democratic,Georgia,Senate,"$10,260,242","$12,275,027","$2,316,948",$0
270,Jon Tester,Democratic,Montana,Senate,"$2,335,296","$900,741","$2,480,084",$0
271,Joni Ernst,Republican,Iowa,Senate,"$1,642,695","$1,169,059","$1,002,050",$0
272,Joseph Morelle,Democratic,New York,House,"$1,775,246","$1,262,551","$672,870",$0
273,Joe Neguse,Democratic,Colorado,House,"$2,099,507","$1,148,462","$1,844,549",$0
274,Josh Gottheimer,Democratic,New Jersey,House,"$7,720,264","$2,045,198","$14,024,163",$0
275,Josh Harder,Democratic,California,House,"$6,193,616","$5,122,224","$4,541,154",$0
276,Josh Hawley,Republican,Missouri,Senate,"$11,028,757","$8,426,682","$4,040,790",$0
277,Joyce Beatty,Democratic,Ohio,House,"$2,027,765","$845,770","$2,138,584","$2,500"
278,Juan Vargas,Democratic,California,House,"$905,730","$582,443","$393,026",$0
279,Judy Chu,Democratic,California,House,"$1,275,434","$854,516","$3,202,686","$2,705"
280,Julia Brownley,Democratic,California,House,"$1,998,752","$2,309,786","$2,802,396",$0
281,Julia Letlow,Republican,Louisiana,House,"$2,620,536","$1,458,271","$1,162,265",$0
282,Kai Kahele,Democratic,Hawaii,House,"$463,256","$622,946","$33,696",$0
283,Kamala Harris,Democratic,California,Senate,$0,$0,$0,$0
284,Karen Bass,Democratic,California,House,"$507,962","$791,486","$1,042,340",$0
285,Kat Cammack,Republican,Florida,House,"$2,091,623","$1,708,461","$415,015",$0
286,Katherine Clark,Democratic,Massachusetts,House,"$2,002,236","$2,104,697","$1,190,314",$0
287,Kathleen Rice,Democratic,New York,House,"$466,705","$584,768","$71,781",$0
288,Kathy Castor,Democratic,Florida,House,"$1,432,885","$880,523","$975,764",$0
289,Kathy Manning,Democratic,North Carolina,House,"$2,692,609","$1,874,537","$1,130,411","$250,000"
290,Katie Porter,Democratic,California,House,"$21,441,693","$15,946,876","$15,762,568",$0
291,Kay Granger,Republican,Texas,House,"$1,846,695","$1,623,165","$534,195",$0
292,Kelly Armstrong,Republican,North Dakota,House,"$1,794,452","$1,370,986","$729,173","$200,000"
293,Ken Buck,Republican,Colorado,House,"$1,375,514","$1,142,475","$523,705",$0
294,Ken Calvert,Republican,California,House,"$3,077,072","$2,371,953","$1,115,717","$11,787"
295,Kevin Brady,Republican,Texas,House,"$273,024","$730,606","$645,085",$0
296,Kevin Cramer,Republican,North Dakota,Senate,"$458,054","$324,173","$352,272",$0
297,Kevin Hern,Republican,Oklahoma,House,"$1,167,360","$771,398","$725,359","$775,000"
298,Kevin McCarthy,Republican,California,House,"$24,791,538","$22,086,344","$7,507,326",$0
299,Kim Schrier,Democratic,Washington,House,"$8,163,575","$7,548,005","$2,333,322",$0
300,Kirsten Gillibrand,Democratic,New York,Senate,"$3,301,708","$651,381","$4,392,753",$0
301,Kurt Schrader,Democratic,Oregon,House,"$2,244,429","$4,680,564","$80,364",$0
302,Kweisi Mfume,Democratic,Maryland,House,"$452,659","$244,657","$509,104",$0
303,Kyrsten Sinema,Democratic,Arizona,Senate,"$7,112,616","$1,691,482","$7,876,875",$0
304,Lance Gooden,Republican,Texas,House,"$814,098","$882,850","$383,782",$0
305,Larry Bucshon,Republican,Indiana,House,"$1,296,300","$888,047","$615,172","$2,362"
